labels,Intensity
"[0.31, 2.91]","[1.         0.99857539 0.99432516 0.98731976 0.9776752  0.96555109
 0.95114782 0.93470317 0.91648819 0.89680263 0.8759699  0.85433169
 0.83224242 0.81006347 0.78815743 0.76688236 0.74658621 0.72760128
 0.71023898 0.69478482 0.68149368 0.67058544 0.66224116 0.65659973
 0.65375525 0.65375525 0.65659973 0.66224116 0.67058544 0.68149368
 0.69478482 0.71023898 0.72760128 0.74658621 0.76688236 0.78815743
 0.81006347 0.83224242 0.85433169 0.8759699  0.89680263 0.91648819
 0.93470317 0.95114782 0.96555109 0.9776752  0.98731976 0.99432516
 0.99857539 1.        ]"
"[0.94, 1.75]","[1.         0.99674816 0.98704768 0.97106265 0.94906309 0.92141967
 0.88859646 0.85114164 0.80967651 0.76488294 0.71748991 0.66825955
 0.61797351 0.56742027 0.51738425 0.46863715 0.42193189 0.377999
 0.33754467 0.30124878 0.26976043 0.24368751 0.22357758 0.20988903
 0.20295613 0.20295613 0.20988903 0.22357758 0.24368751 0.26976043
 0.30124878 0.33754467 0.377999   0.42193189 0.46863715 0.51738425
 0.56742027 0.61797351 0.66825955 0.71748991 0.76488294 0.80967651
 0.85114164 0.88859646 0.92141967 0.94906309 0.97106265 0.98704768
 0.99674816 1.        ]"
"[0.26, 0.3]","[1.         0.99687252 0.98753946 0.97214812 0.95094081 0.92425042
 0.89249419 0.85616623 0.81582892 0.77210352 0.72566045 0.67720952
 0.6274906  0.57726496 0.52730761 0.47840059 0.43132703 0.38686539
 0.34578275 0.3088258  0.27670761 0.25008892 0.22955322 0.21557725
 0.20850069 0.20850069 0.21557725 0.22955322 0.25008892 0.27670761
 0.3088258  0.34578275 0.38686539 0.43132703 0.47840059 0.52730761
 0.57726496 0.6274906  0.67720952 0.72566045 0.77210352 0.81582892
 0.85616623 0.89249419 0.92425042 0.95094081 0.97214812 0.98753946
 0.99687252 1.        ]"
"[1.22, 0.49]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1.2, 1.92]","[1.         0.99804158 0.99219904 0.98256991 0.96931481 0.95265456
 0.93286621 0.91027814 0.8852642  0.85823714 0.82964151 0.79994605
 0.76963601 0.73920527 0.70914871 0.67995467 0.65209778 0.62603198
 0.60218383 0.58094597 0.56267071 0.54766385 0.5361787  0.52841074
 0.52449305 0.52449305 0.52841074 0.5361787  0.54766385 0.56267071
 0.58094597 0.60218383 0.62603198 0.65209778 0.67995467 0.70914871
 0.73920527 0.76963601 0.79994605 0.82964151 0.85823714 0.8852642
 0.91027814 0.93286621 0.95265456 0.96931481 0.98256991 0.99219904
 0.99804158 1.        ]"
"[2.94, 1.44]","[0.         0.         0.         0.         0.         0.
 0.         0.03158549 0.10325242 0.17583896 0.24962424 0.32437819
 0.39955573 0.47439985 0.54800745 0.61938005 0.68746809 0.75121166
 0.80957817 0.86159619 0.90638478 0.94317759 0.97134181 0.99039208
 1.         1.         0.99039208 0.97134181 0.94317759 0.90638478
 0.86159619 0.80957817 0.75121166 0.68746809 0.61938005 0.54800745
 0.47439985 0.39955573 0.32437819 0.24962424 0.17583896 0.10325242
 0.03158549 0.         0.         0.         0.         0.
 0.         0.        ]"
"[0.51, 0.25]","[1.         0.99594697 0.98384663 0.96387423 0.9363183  0.90157554
 0.86014391 0.81261437 0.75966146 0.7020334  0.64054208 0.5760536
 0.50947997 0.44177249 0.37391735 0.30693353 0.24187273 0.17982007
 0.12189315 0.06923543 0.02299846 0.         0.         0.
 0.         0.         0.         0.         0.         0.02299846
 0.06923543 0.12189315 0.17982007 0.24187273 0.30693353 0.37391735
 0.44177249 0.50947997 0.5760536  0.64054208 0.7020334  0.75966146
 0.81261437 0.86014391 0.90157554 0.9363183  0.96387423 0.98384663
 0.99594697 1.        ]"
"[2.38, 0.61]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.10733448
 0.21569266 0.32019059 0.42033119 0.5153945  0.60452751 0.68681022
 0.76130764 0.82711242 0.88338077 0.92936289 0.96442824 0.9880859
 1.         1.         0.9880859  0.96442824 0.92936289 0.88338077
 0.82711242 0.76130764 0.68681022 0.60452751 0.5153945  0.42033119
 0.32019059 0.21569266 0.10733448 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
"[1.0, 1.45]","[1.         0.99625415 0.98507901 0.96666045 0.94130386 0.90942756
 0.87155375 0.82829725 0.78035228 0.72847775 0.67348181 0.61620621
 0.55751158 0.4982645  0.43932751 0.38155303 0.3257822  0.27284927
 0.22359121 0.17886052 0.13953607 0.10652158 0.08071779 0.06295553
 0.05389102 0.05389102 0.06295553 0.08071779 0.10652158 0.13953607
 0.17886052 0.22359121 0.27284927 0.3257822  0.38155303 0.43932751
 0.4982645  0.55751158 0.61620621 0.67348181 0.72847775 0.78035228
 0.82829725 0.87155375 0.90942756 0.94130386 0.96666045 0.98507901
 0.99625415 1.        ]"
"[1.23, 0.91]","[1.         0.99442961 0.97779365 0.95031607 0.91236441 0.86444148
 0.80717415 0.74129958 0.6676496  0.58713383 0.50072251 0.40943024
 0.31430223 0.21640519 0.11682611 0.01668319 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.01668319 0.11682611
 0.21640519 0.31430223 0.40943024 0.50072251 0.58713383 0.6676496
 0.74129958 0.80717415 0.86444148 0.91236441 0.95031607 0.97779365
 0.99442961 1.        ]"
"[2.88, 1.7]","[0.         0.         0.         0.         0.         0.
 0.01048986 0.07458859 0.14066744 0.20882784 0.27882709 0.35017305
 0.42218525 0.49403918 0.56480393 0.6334778  0.69902366 0.76040386
 0.81661363 0.86671165 0.90984677 0.94528021 0.97240283 0.99074794
 1.         1.         0.99074794 0.97240283 0.94528021 0.90984677
 0.86671165 0.81661363 0.76040386 0.69902366 0.6334778  0.56480393
 0.49403918 0.42218525 0.35017305 0.27882709 0.20882784 0.14066744
 0.07458859 0.01048986 0.         0.         0.         0.
 0.         0.        ]"
"[0.03, 2.43]","[1.         0.99619533 0.984846   0.96614471 0.94040836 0.90807155
 0.86967748 0.82586626 0.77736088 0.72495118 0.66947646 0.61180753
 0.55282936 0.49342536 0.43446482 0.37679465 0.32123699 0.2685935
 0.21965721 0.17523068 0.13614625 0.10327771 0.07752511 0.05975114
 0.05066188 0.05066188 0.05975114 0.07752511 0.10327771 0.13614625
 0.17523068 0.21965721 0.2685935  0.32123699 0.37679465 0.43446482
 0.49342536 0.55282936 0.61180753 0.66947646 0.72495118 0.77736088
 0.82586626 0.86967748 0.90807155 0.94040836 0.96614471 0.984846
 0.99619533 1.        ]"
"[0.89, 2.02]","[1.         0.9971699  0.98872743 0.97481524 0.95566831 0.9316097
 0.90304471 0.87045324 0.83438076 0.79542782 0.75423862 0.7114889
 0.66787383 0.62409627 0.58085593 0.53883989 0.4987145  0.46111868
 0.42665796 0.39589867 0.36936097 0.34750989 0.33074364 0.31937973
 0.31364042 0.31364042 0.31937973 0.33074364 0.34750989 0.36936097
 0.39589867 0.42665796 0.46111868 0.4987145  0.53883989 0.58085593
 0.62409627 0.66787383 0.7114889  0.75423862 0.79542782 0.83438076
 0.87045324 0.90304471 0.9316097  0.95566831 0.97481524 0.98872743
 0.9971699  1.        ]"
"[0.29, 1.97]","[1.         0.99577607 0.98317659 0.96241726 0.93385373 0.89797528
 0.85539549 0.80683945 0.75312718 0.69515366 0.63386577 0.57023743
 0.50524406 0.43983834 0.37492918 0.31136583 0.24992983 0.19133782
 0.13626066 0.08536814 0.03941353 0.         0.         0.
 0.         0.         0.         0.         0.         0.03941353
 0.08536814 0.13626066 0.19133782 0.24992983 0.31136583 0.37492918
 0.43983834 0.50524406 0.57023743 0.63386577 0.69515366 0.75312718
 0.80683945 0.85539549 0.89797528 0.93385373 0.96241726 0.98317659
 0.99577607 1.        ]"
"[0.89, 0.25]","[1.         0.9810315  0.92430343 0.83034242 0.70000747 0.53446219
 0.33513657 0.10367914 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.10367914 0.33513657 0.53446219 0.70000747 0.83034242 0.92430343
 0.9810315  1.        ]"
"[0.52, 2.41]","[1.         0.99717194 0.98873552 0.97483326 0.95569996 0.93165858
 0.90311446 0.87054781 0.83450466 0.79558646 0.75443846 0.7117376
 0.66818013 0.62446967 0.58130622 0.53937637 0.49934515 0.46184918
 0.42749077 0.39683218 0.37038895 0.3486212  0.33192243 0.32060605
 0.31489131 0.31489131 0.32060605 0.33192243 0.3486212  0.37038895
 0.39683218 0.42749077 0.46184918 0.49934515 0.53937637 0.58130622
 0.62446967 0.66818013 0.7117376  0.75443846 0.79558646 0.83450466
 0.87054781 0.90311446 0.93165858 0.95569996 0.97483326 0.98873552
 0.99717194 1.        ]"
"[0.2, 1.49]","[1.         0.99521218 0.9809312  0.95740314 0.92503348 0.88437966
 0.83613951 0.78113509 0.72029149 0.65461026 0.58513823 0.51293209
 0.43901982 0.36435937 0.28979337 0.21599557 0.14339672 0.07206044
 0.00143642 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.00143642 0.07206044 0.14339672 0.21599557 0.28979337
 0.36435937 0.43901982 0.51293209 0.58513823 0.65461026 0.72029149
 0.78113509 0.83613951 0.88437966 0.92503348 0.95740314 0.9809312
 0.99521218 1.        ]"
"[0.55, 1.24]","[1.         0.99513178 0.98061031 0.95668327 0.92375728 0.88238827
 0.83326776 0.77720475 0.71510315 0.64793518 0.57671082 0.50244415
 0.42611668 0.34863745 0.27079754 0.19321349 0.11624652 0.0398691
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.0398691  0.11624652 0.19321349 0.27079754
 0.34863745 0.42611668 0.50244415 0.57671082 0.64793518 0.71510315
 0.77720475 0.83326776 0.88238827 0.92375728 0.95668327 0.98061031
 0.99513178 1.        ]"
"[2.39, 2.64]","[0.57284903 0.5745984  0.57981762 0.58842053 0.6002655  0.61515809
 0.63285463 0.65306647 0.67546469 0.69968532 0.72533485 0.75199623
 0.77923513 0.8066067  0.83366249 0.85995778 0.8850589  0.90855062
 0.93004325 0.94917948 0.96564057 0.97915198 0.98948815 0.99647642
 1.         1.         0.99647642 0.98948815 0.97915198 0.96564057
 0.94917948 0.93004325 0.90855062 0.8850589  0.85995778 0.83366249
 0.8066067  0.77923513 0.75199623 0.72533485 0.69968532 0.67546469
 0.65306647 0.63285463 0.61515809 0.6002655  0.58842053 0.57981762
 0.5745984  0.57284903]"
"[0.18, 2.65]","[1.         0.99719768 0.98883783 0.9750609  0.95609804 0.93226666
 0.90396442 0.87166158 0.83589207 0.79724346 0.75634607 0.71386184
 0.67047322 0.6268725  0.58375207 0.54179575 0.50167123 0.46402341
 0.42946811 0.3985853  0.37191091 0.34992623 0.33304466 0.32159632
 0.31581247 0.31581247 0.32159632 0.33304466 0.34992623 0.37191091
 0.3985853  0.42946811 0.46402341 0.50167123 0.54179575 0.58375207
 0.6268725  0.67047322 0.71386184 0.75634607 0.79724346 0.83589207
 0.87166158 0.90396442 0.93226666 0.95609804 0.9750609  0.98883783
 0.99719768 1.        ]"
"[1.11, 3.03]","[1.         0.99976272 0.99905478 0.99788783 0.99628108 0.99426096
 0.99186073 0.98911986 0.98608343 0.98280137 0.97932764 0.97571932
 0.9720357  0.96833729 0.9646848  0.96113818 0.95775563 0.95459264
 0.95170108 0.94912834 0.9469166  0.94510209 0.94371455 0.9427767
 0.9423039  0.9423039  0.9427767  0.94371455 0.94510209 0.9469166
 0.94912834 0.95170108 0.95459264 0.95775563 0.96113818 0.9646848
 0.96833729 0.9720357  0.97571932 0.97932764 0.98280137 0.98608343
 0.98911986 0.99186073 0.99426096 0.99628108 0.99788783 0.99905478
 0.99976272 1.        ]"
"[0.81, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[1.88, 2.91]","[0.91432973 0.91468132 0.91573033 0.9174596  0.91984085 0.92283512
 0.9263934  0.93045743 0.93496067 0.93982932 0.94498359 0.95033895
 0.95580753 0.96129957 0.96672486 0.97199427 0.97702117 0.9817229
 0.98602209 0.989848   0.99313764 0.99583683 0.99790113 0.99929651
 1.         1.         0.99929651 0.99790113 0.99583683 0.99313764
 0.989848   0.98602209 0.9817229  0.97702117 0.97199427 0.96672486
 0.96129957 0.95580753 0.95033895 0.94498359 0.93982932 0.93496067
 0.93045743 0.9263934  0.92283512 0.91984085 0.9174596  0.91573033
 0.91468132 0.91432973]"
"[2.67, 1.8]","[0.         0.         0.         0.         0.00887623 0.05301347
 0.10245116 0.15635287 0.21403693 0.2748559  0.33813106 0.40312179
 0.46901613 0.53493457 0.59994293 0.66307158 0.72333874 0.77977593
 0.8314537  0.87750611 0.91715263 0.9497168  0.97464114 0.9914985
 1.         1.         0.9914985  0.97464114 0.9497168  0.91715263
 0.87750611 0.8314537  0.77977593 0.72333874 0.66307158 0.59994293
 0.53493457 0.46901613 0.40312179 0.33813106 0.2748559  0.21403693
 0.15635287 0.10245116 0.05301347 0.00887623 0.         0.
 0.         0.        ]"
"[2.54, 1.56]","[0.         0.         0.         0.         0.         0.
 0.05520732 0.11417599 0.17637087 0.24128658 0.30834401 0.37686776
 0.44608568 0.51513986 0.58310439 0.6490079  0.71185924 0.77067467
 0.82450521 0.87246268 0.91374319 0.94764743 0.97359724 0.99114843
 1.         1.         0.99114843 0.97359724 0.94764743 0.91374319
 0.87246268 0.82450521 0.77067467 0.71185924 0.6490079  0.58310439
 0.51513986 0.44608568 0.37686776 0.30834401 0.24128658 0.17637087
 0.11417599 0.05520732 0.         0.         0.         0.
 0.         0.        ]"
"[1.59, 1.85]","[0.93496781 0.93523507 0.93603245 0.93734686 0.9391567  0.94143224
 0.94413611 0.94722389 0.95064487 0.95434287 0.95825717 0.9623235
 0.96647508 0.97064376 0.97476109 0.97875948 0.98257329 0.98613989
 0.98940073 0.99230226 0.99479685 0.99684354 0.9984087  0.99946665
 1.         1.         0.99946665 0.9984087  0.99684354 0.99479685
 0.99230226 0.98940073 0.98613989 0.98257329 0.97875948 0.97476109
 0.97064376 0.96647508 0.9623235  0.95825717 0.95434287 0.95064487
 0.94722389 0.94413611 0.94143224 0.9391567  0.93734686 0.93603245
 0.93523507 0.93496781]"
"[1.59, 1.3]","[0.8571388  0.85772954 0.85949187 0.86239627 0.86639411 0.87141857
 0.87738577 0.88419628 0.89173686 0.89988239 0.90849804 0.91744155
 0.9265656  0.93572024 0.94475538 0.95352319 0.96188054 0.96969122
 0.97682817 0.98317544 0.98863006 0.99310362 0.9965237  0.99883496
 1.         1.         0.99883496 0.9965237  0.99310362 0.98863006
 0.98317544 0.97682817 0.96969122 0.96188054 0.95352319 0.94475538
 0.93572024 0.9265656  0.91744155 0.90849804 0.89988239 0.89173686
 0.88419628 0.87738577 0.87141857 0.86639411 0.86239627 0.85949187
 0.85772954 0.8571388 ]"
"[0.29, 1.58]","[1.         0.99531082 0.98132396 0.9582802  0.92657628 0.88675761
 0.83950713 0.78562972 0.72603188 0.66169651 0.59365345 0.52294636
 0.45059735 0.37756998 0.30473112 0.2328096  0.16234649 0.09362446
 0.02654998 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.02654998 0.09362446 0.16234649 0.2328096  0.30473112
 0.37756998 0.45059735 0.52294636 0.59365345 0.66169651 0.72603188
 0.78562972 0.83950713 0.88675761 0.92657628 0.9582802  0.98132396
 0.99531082 1.        ]"
"[0.68, 1.63]","[1.         0.99586601 0.98353477 0.96321717 0.93526019 0.90013994
 0.85845178 0.81089709 0.75826716 0.70142414 0.64127996 0.57877403
 0.51485109 0.45044068 0.38644003 0.32370228 0.26303235 0.20519353
 0.15092899 0.1010041  0.0562744  0.01777486 0.         0.
 0.         0.         0.         0.         0.01777486 0.0562744
 0.1010041  0.15092899 0.20519353 0.26303235 0.32370228 0.38644003
 0.45044068 0.51485109 0.57877403 0.64127996 0.70142414 0.75826716
 0.81089709 0.85845178 0.90013994 0.93526019 0.96321717 0.98353477
 0.99586601 1.        ]"
"[1.1, 0.89]","[1.         0.9942257  0.97698319 0.94851147 0.90920158 0.85958575
 0.80032263 0.73217867 0.65600621 0.57271841 0.48326156 0.38858503
 0.28960904 0.18719096 0.08209101 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.08209101
 0.18719096 0.28960904 0.38858503 0.48326156 0.57271841 0.65600621
 0.73217867 0.80032263 0.85958575 0.90920158 0.94851147 0.97698319
 0.9942257  1.        ]"
"[1.54, 2.39]","[1.         0.99994267 0.99977163 0.99948969 0.99910147 0.99861336
 0.99803338 0.99737104 0.99663724 0.99584403 0.99500443 0.99413222
 0.99324175 0.99234762 0.99146452 0.99060694 0.98978898 0.98902405
 0.98832471 0.98770244 0.98716745 0.98672853 0.98639288 0.986166
 0.98605162 0.98605162 0.986166   0.98639288 0.98672853 0.98716745
 0.98770244 0.98832471 0.98902405 0.98978898 0.99060694 0.99146452
 0.99234762 0.99324175 0.99413222 0.99500443 0.99584403 0.99663724
 0.99737104 0.99803338 0.99861336 0.99910147 0.99948969 0.99977163
 0.99994267 1.        ]"
"[1.77, 1.4]","[0.44146136 0.44383833 0.45092329 0.46258014 0.47858765 0.4986471
 0.52239161 0.54939637 0.57918888 0.61125882 0.64506735 0.68005565
 0.71565318 0.7512854  0.78638152 0.82038212 0.85274678 0.88296167
 0.91054712 0.93506479 0.95612458 0.97339088 0.98658813 0.99550539
 1.         1.         0.99550539 0.98658813 0.97339088 0.95612458
 0.93506479 0.91054712 0.88296167 0.85274678 0.82038212 0.78638152
 0.7512854  0.71565318 0.68005565 0.64506735 0.61125882 0.57918888
 0.54939637 0.52239161 0.4986471  0.47858765 0.46258014 0.45092329
 0.44383833 0.44146136]"
"[2.36, 0.78]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.06277639 0.1653688
 0.2650781  0.36171902 0.45475418 0.54343058 0.62686927 0.70412996
 0.77426165 0.8363443  0.88952418 0.93304376 0.9662668  0.98869835
 1.         1.         0.98869835 0.9662668  0.93304376 0.88952418
 0.8363443  0.77426165 0.70412996 0.62686927 0.54343058 0.45475418
 0.36171902 0.2650781  0.1653688  0.06277639 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
"[2.5, 0.19]","[0.         0.         0.         0.         0.         0.
 0.         0.01388268 0.08433885 0.15894546 0.23637111 0.31532893
 0.39458129 0.47294177 0.54927702 0.62250955 0.69162237 0.75566523
 0.81376232 0.86512086 0.90904006 0.94491995 0.97226956 0.99071399
 1.         1.         0.99071399 0.97226956 0.94491995 0.90904006
 0.86512086 0.81376232 0.75566523 0.69162237 0.62250955 0.54927702
 0.47294177 0.39458129 0.31532893 0.23637111 0.15894546 0.08433885
 0.01388268 0.         0.         0.         0.         0.
 0.         0.        ]"
"[0.25, 3.0]","[1.         0.99900391 0.99603204 0.99113334 0.98438849 0.9759085
 0.96583289 0.95432729 0.94158075 0.92780255 0.91321875 0.89806852
 0.88260018 0.86706723 0.8517242  0.8368226  0.82260682 0.80931019
 0.79715118 0.78632983 0.77702442 0.76938847 0.76354813 0.7596
 0.75760945 0.75760945 0.7596     0.76354813 0.76938847 0.77702442
 0.78632983 0.79715118 0.80931019 0.82260682 0.8368226  0.8517242
 0.86706723 0.88260018 0.89806852 0.91321875 0.92780255 0.94158075
 0.95432729 0.96583289 0.9759085  0.98438849 0.99113334 0.99603204
 0.99900391 1.        ]"
"[1.61, 1.13]","[0.68454458 0.68586624 0.68980808 0.69630108 0.70523196 0.71644548
 0.72974779 0.74491034 0.76167442 0.7797561  0.79885148 0.81864208
 0.83880031 0.85899493 0.87889635 0.89818183 0.91654041 0.93367759
 0.9493197  0.96321792 0.97515191 0.98493296 0.99240676 0.99745559
 1.         1.         0.99745559 0.99240676 0.98493296 0.97515191
 0.96321792 0.9493197  0.93367759 0.91654041 0.89818183 0.87889635
 0.85899493 0.83880031 0.81864208 0.79885148 0.7797561  0.76167442
 0.74491034 0.72974779 0.71644548 0.70523196 0.69630108 0.68980808
 0.68586624 0.68454458]"
"[0.74, 1.27]","[1.         0.9953098  0.9813183  0.95826087 0.92652366 0.88663424
 0.83924849 0.78513365 0.72514789 0.66021663 0.59130631 0.51939626
 0.44544964 0.37038388 0.29504117 0.22015866 0.14633796 0.07401419
 0.00343018 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.00343018 0.07401419 0.14633796 0.22015866 0.29504117
 0.37038388 0.44544964 0.51939626 0.59130631 0.66021663 0.72514789
 0.78513365 0.83924849 0.88663424 0.92652366 0.95826087 0.9813183
 0.9953098  1.        ]"
"[2.23, 3.01]","[0.89591407 0.89634114 0.89761536 0.8997159  0.90260843 0.90624563
 0.91056801 0.91550484 0.9209753  0.9268898  0.93315144 0.93965755
 0.94630141 0.95297399 0.9595657  0.96596822 0.97207629 0.97778943
 0.98301361 0.98766281 0.99166043 0.99494061 0.99744927 0.99914506
 1.         1.         0.99914506 0.99744927 0.99494061 0.99166043
 0.98766281 0.98301361 0.97778943 0.97207629 0.96596822 0.9595657
 0.95297399 0.94630141 0.93965755 0.93315144 0.9268898  0.9209753
 0.91550484 0.91056801 0.90624563 0.90260843 0.8997159  0.89761536
 0.89634114 0.89591407]"
"[2.6, 2.94]","[0.75091682 0.75193862 0.75498728 0.76001281 0.76693284 0.77563402
 0.78597386 0.79778313 0.81086862 0.82501626 0.83999458 0.85555847
 0.87145306 0.88741788 0.90319105 0.91851354 0.93313341 0.94680999
 0.95931786 0.9704506  0.98002431 0.98788069 0.99388973 0.99795193
 1.         1.         0.99795193 0.99388973 0.98788069 0.98002431
 0.9704506  0.95931786 0.94680999 0.93313341 0.91851354 0.90319105
 0.88741788 0.87145306 0.85555847 0.83999458 0.82501626 0.81086862
 0.79778313 0.78597386 0.77563402 0.76693284 0.76001281 0.75498728
 0.75193862 0.75091682]"
"[0.01, 2.23]","[1.         0.99574155 0.98303916 0.96211033 0.9333129  0.89713785
 0.8541989  0.80521869 0.75101173 0.69246418 0.63051137 0.56611377
 0.50023297 0.43380905 0.36774119 0.30287341 0.23998802 0.17981015
 0.12302971 0.07035118 0.02258695 0.         0.         0.
 0.         0.         0.         0.         0.         0.02258695
 0.07035118 0.12302971 0.17981015 0.23998802 0.30287341 0.36774119
 0.43380905 0.50023297 0.56611377 0.63051137 0.69246418 0.75101173
 0.80521869 0.8541989  0.89713785 0.9333129  0.96211033 0.98303916
 0.99574155 1.        ]"
"[2.8, 0.56]","[0.         0.         0.         0.         0.         0.
 0.05402525 0.1138873  0.17756295 0.24412882 0.31271944 0.38248044
 0.45254388 0.52201938 0.58999609 0.65555197 0.71776781 0.77574433
 0.82862074 0.87559376 0.91593604 0.94901316 0.97429862 0.9913863
 1.         1.         0.9913863  0.97429862 0.94901316 0.91593604
 0.87559376 0.82862074 0.77574433 0.71776781 0.65555197 0.58999609
 0.52201938 0.45254388 0.38248044 0.31271944 0.24412882 0.17756295
 0.1138873  0.05402525 0.         0.         0.         0.
 0.         0.        ]"
"[0.13, 0.72]","[1.         0.99577262 0.98316193 0.96238066 0.93377819 0.8978327
 0.85514026 0.80640084 0.75240164 0.69399798 0.63209278 0.5676152
 0.5014999  0.43466812 0.36801227 0.30238586 0.23860151 0.17744052
 0.11968004 0.06614539 0.01779477 0.         0.         0.
 0.         0.         0.         0.         0.         0.01779477
 0.06614539 0.11968004 0.17744052 0.23860151 0.30238586 0.36801227
 0.43466812 0.5014999  0.5676152  0.63209278 0.69399798 0.75240164
 0.80640084 0.85514026 0.8978327  0.93377819 0.96238066 0.98316193
 0.99577262 1.        ]"
"[2.25, 1.85]","[0.19981087 0.20328574 0.2136206  0.2305572  0.2536975  0.28253943
 0.31650935 0.35498533 0.39731033 0.44279792 0.49073414 0.54037861
 0.59096687 0.64171544 0.69182955 0.74051371 0.78698429 0.83048356
 0.87029426 0.90575394 0.93626841 0.96132373 0.98049645 0.99346183
 1.         1.         0.99346183 0.98049645 0.96132373 0.93626841
 0.90575394 0.87029426 0.83048356 0.78698429 0.74051371 0.69182955
 0.64171544 0.59096687 0.54037861 0.49073414 0.44279792 0.39731033
 0.35498533 0.31650935 0.28253943 0.2536975  0.2305572  0.2136206
 0.20328574 0.19981087]"
"[2.98, 1.26]","[0.         0.         0.         0.         0.         0.
 0.         0.03253022 0.1041753  0.1768192  0.25066722 0.32545825
 0.40063533 0.47543954 0.54897167 0.62024063 0.68820598 0.75181743
 0.81005149 0.86194459 0.90662201 0.94332196 0.97141465 0.99041648
 1.         1.         0.99041648 0.97141465 0.94332196 0.90662201
 0.86194459 0.81005149 0.75181743 0.68820598 0.62024063 0.54897167
 0.47543954 0.40063533 0.32545825 0.25066722 0.1768192  0.1041753
 0.03253022 0.         0.         0.         0.         0.
 0.         0.        ]"
"[2.61, 0.02]","[0.83446465 0.83515093 0.83719819 0.84057189 0.84521515 0.85104985
 0.85797796 0.86588338 0.87463399 0.88408396 0.89407629 0.90444552
 0.91502053 0.92562738 0.93609221 0.94624399 0.95591736 0.96495519
 0.97321106 0.98055154 0.98685824 0.99202963 0.9959826  0.99865367
 1.         1.         0.99865367 0.9959826  0.99202963 0.98685824
 0.98055154 0.97321106 0.96495519 0.95591736 0.94624399 0.93609221
 0.92562738 0.91502053 0.90444552 0.89407629 0.88408396 0.87463399
 0.86588338 0.85797796 0.85104985 0.84521515 0.84057189 0.83719819
 0.83515093 0.83446465]"
"[0.45, 0.63]","[1.         0.99513879 0.98063282 0.95671311 0.92375808 0.8822837
 0.83292995 0.77644378 0.713659   0.64547341 0.57282405 0.49666081
 0.4179193  0.33749331 0.25620751 0.17479105 0.09385424 0.01387469
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.01387469 0.09385424 0.17479105 0.25620751
 0.33749331 0.4179193  0.49666081 0.57282405 0.64547341 0.713659
 0.77644378 0.83292995 0.8822837  0.92375808 0.95671311 0.98063282
 0.99513879 1.        ]"
"[3.02, 0.06]","[0.8223749  0.8231089  0.82529862 0.8289074  0.8338749  0.84011813
 0.847533   0.85599611 0.86536691 0.87549014 0.88619845 0.89731525
 0.90865759 0.92003924 0.93127365 0.94217705 0.95257133 0.96228694
 0.9711656  0.97906278 0.98585004 0.99141706 0.99567341 0.99854996
 1.         1.         0.99854996 0.99567341 0.99141706 0.98585004
 0.97906278 0.9711656  0.96228694 0.95257133 0.94217705 0.93127365
 0.92003924 0.90865759 0.89731525 0.88619845 0.87549014 0.86536691
 0.85599611 0.847533   0.84011813 0.8338749  0.8289074  0.82529862
 0.8231089  0.8223749 ]"
