labels,Intensity
"[3.01, 2.99]","[0.6965691  0.69782273 0.70156248 0.70772536 0.71620776 0.72686742
 0.73952617 0.75397315 0.76996858 0.78724793 0.80552636 0.82450343
 0.84386793 0.86330289 0.88249058 0.90111754 0.91887957 0.93548661
 0.95066734 0.96417363 0.97578457 0.98531015 0.99259438 0.99751789
 1.         1.         0.99751789 0.99259438 0.98531015 0.97578457
 0.96417363 0.95066734 0.93548661 0.91887957 0.90111754 0.88249058
 0.86330289 0.84386793 0.82450343 0.80552636 0.78724793 0.76996858
 0.75397315 0.73952617 0.72686742 0.71620776 0.70772536 0.70156248
 0.69782273 0.6965691 ]"
"[0.21, 2.56]","[1.         0.99695216 0.98786015 0.97287754 0.95225705 0.92634577
 0.89557841 0.86046888 0.82160021 0.7796131  0.73519366 0.6890606
 0.64195266 0.59461673 0.54779727 0.50222741 0.458622   0.41767217
 0.38004087 0.34635822 0.31721462 0.2931501  0.27463831 0.26206551
 0.25570715 0.25570715 0.26206551 0.27463831 0.2931501  0.31721462
 0.34635822 0.38004087 0.41767217 0.458622   0.50222741 0.54779727
 0.59461673 0.64195266 0.6890606  0.73519366 0.7796131  0.82160021
 0.86046888 0.89557841 0.92634577 0.95225705 0.97287754 0.98786015
 0.99695216 1.        ]"
"[2.73, 2.66]","[0.42749469 0.42986751 0.43694327 0.44859539 0.46461783 0.48473162
 0.50859257 0.53579934 0.56590128 0.59840589 0.6327859  0.66848634
 0.70493172 0.74153374 0.77769958 0.81284074 0.8463824  0.87777294
 0.90649354 0.93206743 0.95406846 0.97212897 0.98594645 0.9952891
 1.         1.         0.9952891  0.98594645 0.97212897 0.95406846
 0.93206743 0.90649354 0.87777294 0.8463824  0.81284074 0.77769958
 0.74153374 0.70493172 0.66848634 0.6327859  0.59840589 0.56590128
 0.53579934 0.50859257 0.48473162 0.46461783 0.44859539 0.43694327
 0.42986751 0.42749469]"
"[2.07, 1.96]","[0.39604976 0.39856007 0.40604468 0.41836658 0.43530351 0.45655593
 0.48175616 0.51047753 0.54224303 0.57653309 0.61279271 0.65043847
 0.68886565 0.72745598 0.76558607 0.80263661 0.83800217 0.87110133
 0.90138688 0.92835565 0.95155778 0.970605   0.98517782 0.9950314
 1.         1.         0.9950314  0.98517782 0.970605   0.95155778
 0.92835565 0.90138688 0.87110133 0.83800217 0.80263661 0.76558607
 0.72745598 0.68886565 0.65043847 0.61279271 0.57653309 0.54224303
 0.51047753 0.48175616 0.45655593 0.43530351 0.41836658 0.40604468
 0.39856007 0.39604976]"
"[1.91, 3.0]","[0.94203655 0.94227453 0.94298458 0.94415506 0.94576681 0.94779342
 0.95020169 0.95295216 0.95599972 0.95929443 0.96278223 0.96640592
 0.97010602 0.97382179 0.9774922  0.98105697 0.98445752 0.98763795
 0.99054597 0.99313376 0.99535875 0.99718434 0.99858049 0.99952422
 1.         1.         0.99952422 0.99858049 0.99718434 0.99535875
 0.99313376 0.99054597 0.98763795 0.98445752 0.98105697 0.9774922
 0.97382179 0.97010602 0.96640592 0.96278223 0.95929443 0.95599972
 0.95295216 0.95020169 0.94779342 0.94576681 0.94415506 0.94298458
 0.94227453 0.94203655]"
"[1.72, 0.1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[2.28, 0.7]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.07238167
 0.18605942 0.29517966 0.39942861 0.49818559 0.59064817 0.67591796
 0.75306417 0.82117353 0.87939102 0.92695352 0.96321748 0.98768093
 1.         1.         0.98768093 0.96321748 0.92695352 0.87939102
 0.82117353 0.75306417 0.67591796 0.59064817 0.49818559 0.39942861
 0.29517966 0.18605942 0.07238167 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
"[2.97, 2.65]","[0.29286938 0.29588564 0.30486936 0.31962993 0.33986401 0.36517291
 0.39508102 0.42905216 0.46650252 0.50681029 0.54932286 0.59336281
 0.63823392 0.68322787 0.72763217 0.77073933 0.81185722 0.8503202
 0.88550063 0.91682023 0.94376098 0.96587499 0.9827931  0.99423207
 1.         1.         0.99423207 0.9827931  0.96587499 0.94376098
 0.91682023 0.88550063 0.8503202  0.81185722 0.77073933 0.72763217
 0.68322787 0.63823392 0.59336281 0.54932286 0.50681029 0.46650252
 0.42905216 0.39508102 0.36517291 0.33986401 0.31962993 0.30486936
 0.29588564 0.29286938]"
"[0.43, 0.47]","[1.         0.99550565 0.98209232 0.95996756 0.92947179 0.89107028
 0.8453422  0.79296711 0.73470935 0.67140103 0.60392409 0.53319265
 0.46013651 0.38568724 0.31076862 0.23629404 0.16317418 0.09234023
 0.02478859 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.02478859 0.09234023 0.16317418 0.23629404 0.31076862
 0.38568724 0.46013651 0.53319265 0.60392409 0.67140103 0.73470935
 0.79296711 0.8453422  0.89107028 0.92947179 0.95996756 0.98209232
 0.99550565 1.        ]"
"[1.47, 1.52]","[1.         0.99908093 0.99633866 0.99181775 0.98559165 0.97776155
 0.96845472 0.95782249 0.94603781 0.9332925  0.9197942  0.90576303
 0.89142814 0.87702401 0.86278673 0.84895015 0.83574214 0.82338081
 0.81207088 0.80200019 0.79333651 0.78622454 0.78078338 0.77710432
 0.77524919 0.77524919 0.77710432 0.78078338 0.78622454 0.79333651
 0.80200019 0.81207088 0.82338081 0.83574214 0.84895015 0.86278673
 0.87702401 0.89142814 0.90576303 0.9197942  0.9332925  0.94603781
 0.95782249 0.96845472 0.97776155 0.98559165 0.99181775 0.99633866
 0.99908093 1.        ]"
